ArRId;ArRVersion;ArRCreated;ArRChanged;ArRName;ArRType;ArRPublicCode;ArRXEpsg2154;ArRYEpsg2154;ZdAId;ArRGeopoint;ArRTown;ArRPostalRegion;ArRAccessibility;ArRAudibleSignals;ArRVisualSigns;ArRFareZone
463265;1338071-1338069;2019-01-28T19:00:00-05:00;2021-10-14T14:33:16-04:00;Sully - Morland;metro;-;653172;6861437;44911;48.85127140744555, 2.3618531696972473;Paris 4e;75104;false;true;true;1
21985;1332139-1034912;2014-12-28T19:00:00-05:00;2021-10-04T10:56:39-04:00;Chardon Lagache;metro;-;646199;6860810;42543;48.845088298230586, 2.266905475940289;Paris 16e;75116;false;true;true;1
22090;1332135-1332134;2014-12-28T19:00:00-05:00;2021-10-04T10:54:54-04:00;Champs-Élysées - Clemenceau;metro;-;649706;6863280;42531;48.86758395860447, 2.314397292025235;Paris 8e;75108;false;true;true;1
462976;1332125-1034876;2019-01-27T19:00:00-05:00;2021-10-04T10:51:50-04:00;Carrefour Pleyel;metro;-;651891;6869060;42447;48.919732607102, 2.3435346741834646;Saint-Denis;93066;false;true;true;2
463002;1332093-1034573;2019-01-27T19:00:00-05:00;2021-10-04T10:41:03-04:00;Bobigny-Pantin - Raymond Queneau;metro;-;657935;6866334;42344;48.89563789698835, 2.4262775957608027;Bobigny;93008;false;true;true;2
463112;1332091-1087364;2019-01-28T19:00:00-05:00;2021-10-04T10:39:17-04:00;Bibliothèque François Mitterrand;metro;-;654227;6859055;473111;48.82992576498057, 2.3764873711683;Paris 13e;75113;true;true;true;1
22127;1332073-1332072;2014-12-28T19:00:00-05:00;2021-10-04T10:29:52-04:00;Barbès - Rochechouart;metro;-;652377;6865058;42280;48.883776088608904, 2.3506070793550973;Paris 10e;75110;false;true;true;1
21987;1332064-1026843;2014-12-28T19:00:00-05:00;2021-10-04T10:26:46-04:00;Avenue Émile Zola;metro;-;648266;6860999;42265;48.84695722895351, 2.2950459810371466;Paris 15e;75115;false;true;true;1
463169;1328281-1035221;2019-01-28T19:00:00-05:00;2021-09-13T09:58:44-04:00;Daumesnil;metro;-;655678;6860112;45229;48.83953742069629, 2.3961460679154505;Paris 12e;75112;false;true;true;1
463168;1328280-1035221;2019-01-28T19:00:00-05:00;2021-09-13T09:58:37-04:00;Daumesnil;metro;-;655637;6860128;45229;48.83967393046036, 2.3955736061403696;Paris 12e;75112;false;true;true;1
22184;1328279-1035221;2014-12-28T19:00:00-05:00;2021-09-13T09:58:30-04:00;Daumesnil;metro;-;655637;6860128;45229;48.83967393046036, 2.3955736061403696;Paris 12e;75112;false;true;true;1
463056;1328245-1328246;2019-01-27T19:00:00-05:00;2021-09-13T09:29:12-04:00;Créteil - Préfecture;metro;-;660269;6853432;42778;48.779756525830265, 2.459305169291261;Créteil;94028;false;true;true;2
463031;1306811-1306809;2019-01-27T19:00:00-05:00;2021-07-26T10:21:38-04:00;Aubervilliers-Pantin Quatre Chemins;metro;-;655445;6867255;46492;48.90375705941771, 2.3922205712292186;Pantin;93055;false;true;true;2
463109;1306789-1026700;2019-01-28T19:00:00-05:00;2021-07-26T07:41:05-04:00;Asnières - Gennevilliers Les Courtilles;metro;-;647555;6870300;42231;48.93054425850379, 2.2842167753867115;Gennevilliers;92036;false;true;true;2
